"times","A_flux","inert_flux","A_concentration","AZ_concentration","A_rate","AZ_rate"
0,0,0,0,0,0,0
0.001,2.45671239070008e-37,2.49544228367018e-37,1.76850129619332e-14,1.07902917016625e-18,2.03161843228199e-14,2.03140262644795e-14
0.002,1.05627008708748e-26,1.07426987415731e-26,1.56341621455631e-09,2.20671412157901e-13,1.7935152184966e-09,1.79307387567228e-09
0.003,5.30298735435977e-21,5.40060160109237e-21,4.39651354310666e-07,1.06584411713432e-10,5.03467369222997e-07,5.0325420039957e-07
0.004,2.7601260408309e-17,2.81493861853671e-17,1.34756244106416e-05,4.9343417562519e-09,1.53982812371128e-05,1.53884125536003e-05
0.005,1.24414116867287e-14,1.27075127955783e-14,0.000133563318043283,6.85091208966538e-08,0.000152227633331842,0.000152090615090049
0.006,1.24537019284189e-12,1.27400027777565e-12,0.000685173606423546,4.67759891814845e-07,0.000778594449550781,0.000777658929767151
0.007,4.55994201724651e-11,4.67236279000049e-11,0.00231518433158516,2.02567974781985e-06,0.00262194838636653,0.00261789702687089
0.008,8.20448127769425e-10,8.42087636759939e-10,0.00590976499201732,6.43555288544672e-06,0.00666751868311099,0.00665464757734009
0.009,8.75540831193405e-09,9.00183643694066e-09,0.0123909065676134,1.64031456283322e-05,0.0139214796401888,0.0138886733489321
0.01,6.28898040724363e-08,6.47739167289648e-08,0.0225209780013804,3.55481326756507e-05,0.0251881620480744,0.0251170657827231
0.011,3.32240725537125e-07,3.42808720575036e-07,0.036790103145608,6.81293393113146e-05,0.0409460318312229,0.0408097731526003
0.012,1.37637164104898e-06,1.42273865533182e-06,0.0553913221403715,0.000118699780343978,0.0613260248545477,0.0610886252938597
0.013,4.6891212665908e-06,4.85601861019979e-06,0.07825487688776,0.00019177792921042,0.0861575498367156,0.0857739939782947
0.014,1.36202696905126e-05,1.41312646312188e-05,0.105109767910684,0.000291583372289513,0.115044565651496,0.114461398906917
0.015,3.46825244979004e-05,3.60510237554438e-05,0.135549946763485,0.000421852498218912,0.147445388813629,0.146601683817192
0.016,7.91308919307432e-05,8.24077445838255e-05,0.169092879245921,0.000585729878552487,0.182742213561759,0.181570753804655
0.017,0.000164597745205259,0.000171736632294207,0.205225732591167,0.000785721755463013,0.220295157370581,0.218723713859655
0.018,0.000316519503180245,0.000330869974933943,0.243438793323759,0.00102369569719868,0.259480698378349,0.257433306983952
0.019,0.00056911171987289,0.000596035060602028,0.283247767732769,0.0013009117177319,0.299716698538046,0.297114875102582
0.02,0.000965724192071479,0.00101331234000327,0.324207286088481,0.00161807284352013,0.34047692213135,0.33724077644431
0.021,0.00155850828418189,0.00163837349242614,0.365917889480496,0.00197538601090801,0.38129785268441,0.377347080662594
0.022,0.00240742782969393,0.00253552251645148,0.408028448084637,0.00237262681633954,0.421780178970541,0.417034925337862
