"times","pulse_10","pulse_75"
0.002,0.00661398635820896,0.00509053101492538
0.004,0.00240596435820895,0.00800377701492538
0.006,0.00208227035820895,-0.0117415569850746
0.008,0.00499551635820895,0.00314836701492537
0.01,-0.00406791564179104,0.00250097901492537
0.012,0.000463800358208956,-0.00397290098507463
0.014,-0.00374422164179104,0.00670900101492537
0.016,0.000140106358208957,-0.00203073698507462
0.018,0.017619582358209,0.00411944901492537
0.02,-0.00374422164179104,0.0138302690149254
0.022,0.00175857635820895,-0.00170704298507462
0.024,0.00143488235820895,-0.00462028898507463
0.026,-0.017663063641791,-8.85729850746281e-05
0.028,-0.000830975641791042,-0.0117415569850746
0.03,0.015030030358209,0.00509053101492538
0.032,0.00434812835820896,0.00411944901492537
0.034,0.011469396358209,0.00832747101492538
0.036,0.013087866358209,0.0115644110149254
0.038,0.00467182235820895,0.00314836701492537
0.04,0.011469396358209,0.0283964990149254
0.042,0.019561746358209,0.0180382910149254
0.044,0.044162490358209,0.0241884770149254
0.046,0.037364916358209,0.0413442590149254
0.048,0.061318272358209,0.0442575050149254
0.05,0.078797748358209,0.0856903370149254
0.052,0.080092524358209,0.0708004130149254
0.054,0.072000174358209,0.0911931350149254
0.056,0.098219388358209,0.101875037014925
0.058,0.117317334358209,0.153666077014925
0.06,0.175258560358209,0.146544809014925
0.062,0.182056134358209,0.152047607014925
0.064,0.193385424358209,0.166613837014925
0.066,0.206009490358209,0.178590515014925
0.068,0.268482432358209,0.264045731014925
0.07,0.203096244358209,0.275375021014925
0.072,0.252621426358209,0.223260287014925
0.074,0.331602762358209,0.267282671014925
0.076,0.347463768358209,0.326842367014925
0.078,0.333544926358209,0.327489755014925
0.08,0.362029998358209,0.335258411014925
0.082,0.367209102358209,0.365685647014925
0.084,0.386954436358209,0.404852621014925
0.086,0.411878874358209,0.353061581014925
0.088,0.387278130358209,0.371188445014925
0.09,0.371740818358209,0.419742545014925
0.092,0.442629804358209,0.465383399014925
0.094,0.486652188358209,0.440135267014925
0.096,0.494097150358209,0.454054109014925
0.098,0.464640996358209,0.447256535014925
0.1,0.542974944358209,0.493221083014925
0.102,0.474675510358209,0.503579291014925
0.104,0.573402180358209,0.569612867014925
0.106,0.658857396358209,0.465707093014925
0.108,0.526142856358209,0.512966417014925
0.11,0.557864868358209,0.507139925014925
0.112,0.612892848358209,0.564110069014925
0.114,0.651088740358209,0.580618463014925
0.116,0.599297700358209,0.637264913014925
0.118,0.558188562358209,0.533035445014925
0.12,0.694787430358209,0.540480407014925
0.122,0.649793964358209,0.571555031014925
0.124,0.676984260358209,0.604571819014925
0.126,0.661446948358209,0.695206139014925
0.128,0.715503846358209,0.587739731014925
0.13,0.681515976358209,0.637264913014925
0.132,0.729098994358209,0.601334879014925
0.134,0.719711868358209,0.552457085014925
0.136,0.692197878358209,0.595508387014925
0.138,0.692521572358209,0.636617525014925
0.14,0.645585942358209,0.626906705014925
0.142,0.711619518358209,0.648594203014925
0.144,0.722301420358209,0.681934685014925
0.146,0.720035562358209,0.662189351014925
0.148,0.698348064358209,0.695853527014925
0.15,0.675689484358209,0.738581135014925
0.152,0.685723998358209,0.667692149014925
0.154,0.692521572358209,0.664455209014925
0.156,0.758555148358209,0.760592327014925
0.158,0.750139104358209,0.761239715014925
0.16,0.719388174358209,0.666397373014925
0.162,0.712590600358209,0.729841397014925
0.164,0.752728656358209,0.587092343014925
0.166,0.767294886358209,0.685495319014925
0.168,0.737515038358209,0.706211735014925
0.17,0.711295824358209,0.747320873014925
0.172,0.761144700358209,0.768037289014925
0.174,0.743665224358209,0.775805945014925
0.176,0.793190406358209,0.667368455014925
0.178,0.733307016358209,0.711067145014925
0.18,0.823293948358209,0.732754643014925
0.182,0.827178276358209,0.721425353014925
0.184,0.737838732358209,0.735344195014925
0.186,0.753376044358209,0.735991583014925
0.188,0.717446010358209,0.657657635014925
0.19,0.802577532358209,0.748615649014925
0.192,0.792866712358209,0.737933747014925
0.194,0.856634430358209,0.725309681014925
0.196,0.787687608358209,0.705240653014925
0.198,0.747549552358209,0.754765835014925
0.2,0.739457202358209,0.793285421014925
0.202,0.807756636358209,0.677402969014925
0.204,0.783803280358209,0.739875911014925
0.206,0.794485182358209,0.753794753014925
0.208,0.756936678358209,0.699414161014925
0.21,0.818438538358209,0.785840459014925
0.212,0.744636306358209,0.779690273014925
0.214,0.665007582358209,0.670281701014925
0.216,0.796427346358209,0.769655759014925
0.218,0.838183872358209,0.721425353014925
0.22,0.710648436358209,0.695206139014925
0.222,0.730717464358209,0.652154837014925
