"times","A_flux","inert_flux","A_concentration","AZ_concentration","A_rate","AZ_rate"
0,-0.00397664218073429,0,0,0,0,0
0.001,0.0987430213393322,5.20967677621702e-17,0.000161738817930193,1.39021808186293e-09,1.79709797450379e-05,1.79709797450379e-05
0.002,0.0412031646340044,1.14693252686326e-09,0.112489630799561,2.79179910840103e-06,0.0124988129723456,0.0124988129723456
0.003,0.0233508910494113,2.27471694559176e-06,1.34608354216128,6.65385255227117e-05,0.149554886194128,0.149554886194128
0.004,0.13368492315558,0.000157830364829279,4.65091580864933,0.00038081923808959,0.516571627826073,0.516571627826073
0.005,0.04027954821993,0.0022381916106554,9.5526649809121,0.00115896615357196,1.06017708505809,1.06017708505809
0.006,0.0947728464660794,0.0133562047742127,15.1193227437512,0.00252475429458443,1.6756833520803,1.6756833520803
0.007,0.0598036897118762,0.0475033432267616,20.6573927293139,0.0045078313577416,2.28491918739995,2.28491918739995
0.008,0.208088893062088,0.121353704398866,25.7886917893506,0.00707797952394725,2.8451288841018,2.8451288841018
0.009,0.175910987350621,0.24808892370069,30.3528753993697,0.0101755664071817,3.33822418889939,3.33822418889939
0.01,0.395911593372122,0.433773736328344,34.3130458167391,0.0137306497707959,3.76021171134002,3.76021171134002
0.011,0.588835560528883,0.677120239641327,37.6944173351373,0.0176733067516496,4.1142480371943,4.1142480371943
0.012,0.75611290493592,0.971275096242922,40.5493959509305,0.0219385892787261,4.40664437862918,4.40664437862918
0.013,1.1647355378671,1.3061518126414,42.9390487333762,0.0264684914511692,4.64472409878395,4.64472409878395
0.014,1.38364270755781,1.67045927684322,44.9238654721556,0.031212357150015,4.83574285983105,4.83574285983105
0.015,1.77220376788495,2.0531365635807,46.5595599343199,0.0361265290597937,4.98639162659349,4.98639162659349
0.016,2.06725256590379,2.44421055985049,47.8955165164686,0.0411736720950495,5.10260913606628,5.10260913606628
0.017,2.63496814252901,2.83520791142702,48.9745718122831,0.0463219974678985,5.18955242453368,5.18955242453368
0.018,2.80925726619407,3.21926683977238,49.8334258257962,0.0515445000183933,5.25164297860021,5.25164297860021
0.019,3.24896595977033,3.59106880224657,50.5033098705476,0.056818260065532,5.29264440846141,5.29264440846141
0.02,3.43729525592672,3.9466759102551,51.0107193064842,0.0621238285314461,5.31574868078027,5.31574868078027
0.021,3.68991460510427,4.2833301509117,51.3781173883949,0.0674446975275594,5.32365953351102,5.32365953351102
0.022,3.87206454383433,4.59924806343538,51.6245691944897,0.0727668506399927,5.3186679865067,5.3186679865067
0.023,4.17758463620182,4.89342924919916,51.7662921776958,0.0780783839690908,5.30271819337661,5.30271819337661
0.024,4.44840872930612,5.16548731637166,51.8171239197773,0.0833691881199087,5.27746359643075,5.27746359643075
0.025,4.684527136167,5.41550600652656,51.7889140624856,0.0886306818048256,5.24431414435511,5.24431414435511
0.026,4.78652538068673,5.64391993805745,51.6918499152913,0.0938555886303406,5.20447565712227,5.20447565712227
0.027,4.82781811447416,5.85141777225577,51.534725541798,0.0990377498232358,5.15898247626448,5.15898247626448
0.028,5.15911965408836,6.03886489125091,51.3251636315144,0.104171966670112,5.1087244884838,5.1087244884838
0.029,5.05256737251441,6.20724257394953,51.0697982247934,0.109253867607582,5.05446947231065,5.05446947231065
0.03,5.19757976794696,6.3576008259683,50.7744253805875,0.114279795641386,4.99688160269835,4.99688160269835
0.031,5.33885478025672,6.49102232495052,50.4441275794515,0.11924671266682,4.93653679913958,4.93653679913958
0.032,5.35505383111951,6.60859530062386,50.0833767743091,0.124152117782265,4.87393549801017,4.87393549801017
0.033,5.25080717879137,6.71139352091839,49.6961199960723,0.128993977315861,4.8095133134014,4.8095133134014
0.034,5.41927901221048,6.8004618716784,49.2858508510246,0.133770664565725,4.74364998099954,4.74364998099954
0.035,5.54660119709922,6.87680630719785,48.8556693697648,0.138480907823041,4.6766768803486,4.6766768803486
0.036,5.46806440225364,6.94138717264117,48.4083324639985,0.143123745276391,4.6088834021296,4.6088834021296
0.037,5.51760039578634,6.99511512112802,47.9462966320169,0.147698485797313,4.54052235776435,4.54052235776435
0.038,5.59623711321117,7.03884898556823,47.4717542887185,0.152204674734228,4.4718145964601,4.4718145964601
0.039,5.5403437878253,7.07339512449528,46.9866648496748,0.156642063977675,4.40295296535494,4.40295296535494
0.04,5.49840040363795,7.09950783913216,46.4927814542815,0.16101058570483,4.33410572014232,4.33410572014232
0.041,5.43445803253263,7.11789057995271,45.9916740544118,0.165310329300457,4.26541947459974,4.26541947459974
0.042,5.56750666350805,7.12919768954895,45.4847494675538,0.169541521023872,4.19702176215944,4.19702176215944
0.043,5.37637897211787,7.13403652017842,44.9732688697094,0.173704506068433,4.12902326826819,4.12902326826819
0.044,5.36184728577975,7.13296977418394,44.4583631170769,0.177799732713939,4.06151978199571,4.06151978199571
0.045,5.36343887302525,7.12651797738952,43.9410462297368,0.181827738303335,3.99459390834461,3.99459390834461
0.046,5.4217400041595,7.11516199802463,43.4222272968713,0.185789136827049,3.92831657425307,3.92831657425307
0.047,5.27485024364822,7.09934555691727,42.902721022408,0.189684607925673,3.86274835625867,3.86274835625867
