times,A_flux,inert_flux,A_concentration,AZ_concentration,A_rate,AZ_rate,A_uptake
0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0
0.004,0,0,1.00E-05,0,2.00E-05,2.00E-05,0
0.005,0,0,0.00013,0,0.00015,0.00015,0
0.006,0,0,0.00068,0,0.00079,0.00079,0
0.007,0,0,0.00231,0,0.00266,0.00266,0
0.008,0,0,0.00591,1.00E-05,0.00679,0.00679,1.00E-05
0.009,0,0,0.01238,2.00E-05,0.01424,0.01424,2.00E-05
0.01,0,0,0.0225,4.00E-05,0.02587,0.02587,5.00E-05
0.011,0,0,0.03674,7.00E-05,0.04225,0.04225,9.00E-05
0.012,0,0,0.05529,0.00012,0.06358,0.06358,0.00016
0.013,0,0,0.07809,2.00E-04,0.08979,0.08979,0.00025
0.014,1.00E-05,1.00E-05,0.10485,3.00E-04,0.12054,0.12054,0.00037
0.015,3.00E-05,4.00E-05,0.13515,0.00044,0.15535,0.15535,0.00052
0.016,8.00E-05,8.00E-05,0.16851,0.00062,0.19367,0.19367,0.00072
0.017,0.00016,0.00017,0.20441,0.00083,0.23488,0.23488,0.00095
0.018,0.00032,0.00033,0.24233,0.00109,0.27838,0.27838,0.00123
0.019,0.00057,6.00E-04,0.28179,0.00139,0.32361,0.32361,0.00155
0.02,0.00096,0.00101,0.32233,0.00173,0.37004,0.37004,0.00192
0.021,0.00156,0.00164,0.36355,0.00213,0.41719,0.41719,0.00234
0.022,0.0024,0.00254,0.40509,0.00257,0.46466,0.46466,0.0028
0.023,0.00357,0.00378,0.44665,0.00306,0.51208,0.51208,0.00332
0.024,0.00513,0.00544,0.48797,0.00359,0.55915,0.55915,0.00387
0.025,0.00715,0.0076,0.52883,0.00417,0.60562,0.60562,0.00448
0.026,0.00971,0.01034,0.56905,0.0048,0.65126,0.65126,0.00513
0.027,0.01288,0.01373,0.60848,0.00548,0.69592,0.69592,0.00583
0.028,0.01671,0.01786,0.647,0.00619,0.73944,0.73944,0.00657
0.029,0.02128,0.02279,0.68453,0.00696,0.78174,0.78174,0.00735
0.03,0.02663,0.02858,0.721,0.00776,0.82271,0.82271,0.00817
0.031,0.03282,0.03529,0.75634,0.0086,0.86232,0.86232,0.00903
0.032,0.03986,0.04295,0.79054,0.00948,0.9005,0.9005,0.00993
0.033,0.0478,0.05162,0.82357,0.0104,0.93726,0.93726,0.01087
0.034,0.05665,0.0613,0.85542,0.01136,0.97256,0.97256,0.01184
0.035,0.06642,0.07203,0.88608,0.01235,1.00642,1.00642,0.01285
0.036,0.07712,0.0838,0.91557,0.01337,1.03883,1.03883,0.01389
0.037,0.08872,0.09661,0.9439,0.01442,1.06983,1.06983,0.01496
0.038,0.10123,0.11046,0.97109,0.01551,1.09943,1.09943,0.01605
0.039,0.11461,0.12533,0.99715,0.01662,1.12767,1.12767,0.01718
0.04,0.12885,0.14119,1.02212,0.01776,1.15456,1.15456,0.01834
0.041,0.1439,0.15801,1.04602,0.01893,1.18015,1.18015,0.01952
0.042,0.15974,0.17577,1.06888,0.02012,1.20448,1.20448,0.02072
0.043,0.17632,0.19441,1.09073,0.02134,1.22757,1.22757,0.02195
0.044,0.19359,0.21391,1.1116,0.02258,1.24948,1.24948,0.0232
0.045,0.21152,0.2342,1.13153,0.02384,1.27024,1.27024,0.02447
0.046,0.23005,0.25525,1.15054,0.02512,1.28989,1.28989,0.02575
0.047,0.24914,0.27699,1.16867,0.02642,1.30847,1.30847,0.02706
0.048,0.26874,0.2994,1.18595,0.02773,1.32601,1.32601,0.02839
0.049,0.2888,0.3224,1.2024,0.02907,1.34257,1.34257,0.02973
0.05,0.30926,0.34595,1.21807,0.03042,1.35817,1.35817,0.03109
0.051,0.33008,0.36999,1.23298,0.03178,1.37286,1.37286,0.03246
0.052,0.35121,0.39448,1.24716,0.03316,1.38667,1.38667,0.03385
0.053,0.37261,0.41937,1.26063,0.03456,1.39963,1.39963,0.03525
0.054,0.39423,0.4446,1.27343,0.03596,1.41178,1.41178,0.03666
0.055,0.41602,0.47012,1.28558,0.03738,1.42316,1.42316,0.03808
0.056,0.43794,0.49589,1.29711,0.03881,1.43379,1.43379,0.03951
0.057,0.45996,0.52187,1.30804,0.04025,1.4437,1.4437,0.04096
0.058,0.48203,0.54801,1.31839,0.0417,1.45293,1.45293,0.04241
0.059,0.50411,0.57426,1.32819,0.04315,1.46151,1.46151,0.04387
0.06,0.52618,0.6006,1.33747,0.04462,1.46946,1.46946,0.04534
0.061,0.5482,0.62697,1.34623,0.04609,1.4768,1.4768,0.04682
0.062,0.57013,0.65335,1.3545,0.04757,1.48358,1.48358,0.0483
0.063,0.59196,0.6797,1.36231,0.04906,1.4898,1.4898,0.04979
0.064,0.61364,0.70599,1.36967,0.05055,1.49549,1.49549,0.05128
0.065,0.63516,0.73219,1.37659,0.05205,1.50068,1.50068,0.05278
0.066,0.65649,0.75826,1.3831,0.05355,1.50538,1.50538,0.05429
0.067,0.67762,0.78419,1.38921,0.05506,1.50963,1.50963,0.0558
0.068,0.69851,0.80994,1.39494,0.05657,1.51342,1.51342,0.05731
0.069,0.71916,0.8355,1.4003,0.05809,1.5168,1.5168,0.05883
0.07,0.73954,0.86084,1.4053,0.05961,1.51977,1.51977,0.06035
0.071,0.75964,0.88595,1.40997,0.06113,1.52235,1.52235,0.06187
0.072,0.77944,0.9108,1.41431,0.06265,1.52456,1.52456,0.06339
0.073,0.79894,0.93537,1.41834,0.06418,1.52642,1.52642,0.06492
0.074,0.81813,0.95967,1.42207,0.0657,1.52793,1.52793,0.06644
0.075,0.83698,0.98366,1.42551,0.06723,1.52912,1.52912,0.06797
0.076,0.8555,1.00733,1.42867,0.06876,1.53,1.53,0.0695
0.077,0.87368,1.03068,1.43156,0.07029,1.53058,1.53058,0.07103
0.078,0.8915,1.0537,1.4342,0.07182,1.53087,1.53087,0.07256
0.079,0.90897,1.07637,1.43659,0.07335,1.53089,1.53089,0.07409
0.08,0.92608,1.09869,1.43874,0.07488,1.53065,1.53065,0.07562
0.081,0.94282,1.12065,1.44066,0.07641,1.53016,1.53016,0.07715
0.082,0.9592,1.14224,1.44236,0.07794,1.52942,1.52942,0.07868
0.083,0.97521,1.16347,1.44385,0.07947,1.52846,1.52846,0.08021
0.084,0.99085,1.18431,1.44513,0.081,1.52728,1.52728,0.08174
0.085,1.00611,1.20478,1.44622,0.08253,1.52589,1.52589,0.08326
0.086,1.02101,1.22487,1.44712,0.08405,1.5243,1.5243,0.08479
0.087,1.03553,1.24457,1.44783,0.08558,1.52252,1.52252,0.08631
0.088,1.04968,1.26389,1.44837,0.0871,1.52055,1.52055,0.08783
0.089,1.06346,1.28282,1.44874,0.08862,1.51841,1.51841,0.08935
0.09,1.07687,1.30137,1.44895,0.09013,1.5161,1.5161,0.09086
0.091,1.08992,1.31953,1.449,0.09165,1.51363,1.51363,0.09237
0.092,1.10261,1.3373,1.4489,0.09316,1.511,1.511,0.09389
0.093,1.11494,1.35469,1.44865,0.09467,1.50823,1.50823,0.09539
0.094,1.1269,1.3717,1.44826,0.09618,1.50532,1.50532,0.0969
0.095,1.13852,1.38832,1.44774,0.09768,1.50227,1.50227,0.0984
0.096,1.14979,1.40456,1.44708,0.09918,1.49909,1.49909,0.0999
0.097,1.16071,1.42043,1.4463,0.10068,1.49579,1.49579,0.10139
0.098,1.17129,1.43592,1.4454,0.10217,1.49237,1.49237,0.10289
0.099,1.18153,1.45104,1.44438,0.10366,1.48884,1.48884,0.10437
0.1,1.19145,1.4658,1.44325,0.10515,1.48521,1.48521,0.10586
0.101,1.20103,1.48019,1.442,0.10663,1.48147,1.48147,0.10734
0.102,1.21029,1.49422,1.44065,0.10811,1.47763,1.47763,0.10882
0.103,1.21924,1.50789,1.43921,0.10959,1.47371,1.47371,0.11029
0.104,1.22787,1.52121,1.43766,0.11106,1.46969,1.46969,0.11176
0.105,1.23619,1.53419,1.43602,0.11253,1.46559,1.46559,0.11322
0.106,1.24421,1.54681,1.43428,0.11399,1.4614,1.4614,0.11469
0.107,1.25193,1.5591,1.43246,0.11545,1.45714,1.45714,0.11614
0.108,1.25936,1.57106,1.43056,0.11691,1.45281,1.45281,0.11759
0.109,1.26651,1.58268,1.42857,0.11836,1.44841,1.44841,0.11904
0.11,1.27337,1.59398,1.4265,0.1198,1.44394,1.44394,0.12049
0.111,1.27996,1.60496,1.42436,0.12125,1.43941,1.43941,0.12192
0.112,1.28627,1.61562,1.42214,0.12268,1.43482,1.43482,0.12336
0.113,1.29232,1.62597,1.41986,0.12412,1.43017,1.43017,0.12479
0.114,1.29811,1.63602,1.4175,0.12554,1.42547,1.42547,0.12621
0.115,1.30364,1.64576,1.41508,0.12697,1.42072,1.42072,0.12763
0.116,1.30892,1.65521,1.41259,0.12838,1.41592,1.41592,0.12905
0.117,1.31396,1.66436,1.41005,0.1298,1.41108,1.41108,0.13046
0.118,1.31876,1.67323,1.40744,0.13121,1.40619,1.40619,0.13187
0.119,1.32332,1.68182,1.40478,0.13261,1.40126,1.40126,0.13327
0.12,1.32766,1.69013,1.40206,0.13401,1.3963,1.3963,0.13466
0.121,1.33176,1.69817,1.39929,0.1354,1.39129,1.39129,0.13605
0.122,1.33565,1.70594,1.39647,0.13679,1.38626,1.38626,0.13744
0.123,1.33933,1.71345,1.3936,0.13818,1.38119,1.38119,0.13882
0.124,1.34279,1.72071,1.39068,0.13955,1.37609,1.37609,0.1402
0.125,1.34605,1.72771,1.38772,0.14093,1.37097,1.37097,0.14157
0.126,1.34911,1.73446,1.38471,0.1423,1.36582,1.36582,0.14293
0.127,1.35197,1.74097,1.38166,0.14366,1.36065,1.36065,0.14429
0.128,1.35464,1.74724,1.37857,0.14502,1.35545,1.35545,0.14565
0.129,1.35712,1.75328,1.37544,0.14637,1.35023,1.35023,0.147
0.13,1.35942,1.75909,1.37227,0.14772,1.345,1.345,0.14834
0.131,1.36155,1.76468,1.36907,0.14906,1.33974,1.33974,0.14968
0.132,1.36349,1.77004,1.36583,0.1504,1.33447,1.33447,0.15101
0.133,1.36527,1.77519,1.36256,0.15173,1.32919,1.32919,0.15234
0.134,1.36689,1.78013,1.35925,0.15306,1.32389,1.32389,0.15367
0.135,1.36834,1.78486,1.35592,0.15438,1.31859,1.31859,0.15498
0.136,1.36963,1.78938,1.35255,0.15569,1.31327,1.31327,0.1563
0.137,1.37077,1.79371,1.34916,0.157,1.30794,1.30794,0.1576
0.138,1.37176,1.79785,1.34574,0.15831,1.3026,1.3026,0.15891
0.139,1.37261,1.80179,1.3423,0.15961,1.29726,1.29726,0.1602
0.14,1.37331,1.80555,1.33883,0.1609,1.29191,1.29191,0.16149
0.141,1.37388,1.80912,1.33533,0.16219,1.28656,1.28656,0.16278
0.142,1.3743,1.81252,1.33181,0.16348,1.28121,1.28121,0.16406
0.143,1.3746,1.81574,1.32827,0.16475,1.27585,1.27585,0.16534
0.144,1.37477,1.81879,1.32471,0.16603,1.27049,1.27049,0.16661
0.145,1.37481,1.82167,1.32113,0.1673,1.26513,1.26513,0.16787
0.146,1.37474,1.82438,1.31753,0.16856,1.25977,1.25977,0.16913
0.147,1.37454,1.82694,1.31392,0.16982,1.25441,1.25441,0.17039
0.148,1.37423,1.82934,1.31028,0.17107,1.24906,1.24906,0.17163
0.149,1.37381,1.83159,1.30663,0.17231,1.2437,1.2437,0.17288
0.15,1.37327,1.83369,1.30296,0.17355,1.23835,1.23835,0.17412
0.151,1.37264,1.83564,1.29928,0.17479,1.23301,1.23301,0.17535
0.152,1.37189,1.83744,1.29559,0.17602,1.22767,1.22767,0.17658
0.153,1.37105,1.83911,1.29188,0.17725,1.22233,1.22233,0.1778
0.154,1.37011,1.84064,1.28816,0.17847,1.21701,1.21701,0.17901
0.155,1.36908,1.84204,1.28442,0.17968,1.21169,1.21169,0.18022
0.156,1.36795,1.8433,1.28068,0.18089,1.20637,1.20637,0.18143
0.157,1.36673,1.84444,1.27693,0.18209,1.20107,1.20107,0.18263
0.158,1.36543,1.84545,1.27316,0.18329,1.19577,1.19577,0.18383
0.159,1.36404,1.84634,1.26939,0.18448,1.19049,1.19049,0.18502
0.16,1.36257,1.84711,1.26561,0.18567,1.18521,1.18521,0.1862
0.161,1.36102,1.84776,1.26182,0.18685,1.17995,1.17995,0.18738
0.162,1.35939,1.8483,1.25802,0.18803,1.17469,1.17469,0.18856
0.163,1.35768,1.84873,1.25421,0.1892,1.16945,1.16945,0.18972
0.164,1.35591,1.84905,1.2504,0.19037,1.16422,1.16422,0.19089
0.165,1.35406,1.84926,1.24659,0.19153,1.159,1.159,0.19205
0.166,1.35214,1.84937,1.24276,0.19269,1.15379,1.15379,0.1932
0.167,1.35016,1.84938,1.23894,0.19384,1.1486,1.1486,0.19435
0.168,1.34811,1.84929,1.23511,0.19499,1.14342,1.14342,0.19549
0.169,1.34599,1.8491,1.23127,0.19613,1.13826,1.13826,0.19663
0.17,1.34382,1.84881,1.22744,0.19726,1.13311,1.13311,0.19776
0.171,1.34159,1.84844,1.2236,0.19839,1.12797,1.12797,0.19889
0.172,1.3393,1.84798,1.21975,0.19952,1.12285,1.12285,0.20001
0.173,1.33695,1.84742,1.21591,0.20064,1.11774,1.11774,0.20113
0.174,1.33455,1.84679,1.21206,0.20175,1.11265,1.11265,0.20224
0.175,1.3321,1.84607,1.20821,0.20286,1.10758,1.10758,0.20335
0.176,1.3296,1.84526,1.20436,0.20397,1.10252,1.10252,0.20445
0.177,1.32705,1.84438,1.20052,0.20507,1.09748,1.09748,0.20555
0.178,1.32445,1.84342,1.19667,0.20616,1.09245,1.09245,0.20664
0.179,1.3218,1.84239,1.19282,0.20725,1.08744,1.08744,0.20773
0.18,1.31912,1.84128,1.18897,0.20834,1.08245,1.08245,0.20881
0.181,1.31638,1.8401,1.18512,0.20942,1.07748,1.07748,0.20989
0.182,1.31361,1.83885,1.18128,0.21049,1.07252,1.07252,0.21096
0.183,1.3108,1.83753,1.17743,0.21156,1.06758,1.06758,0.21203
0.184,1.30795,1.83614,1.17359,0.21263,1.06266,1.06266,0.21309
0.185,1.30506,1.83469,1.16975,0.21369,1.05776,1.05776,0.21415
0.186,1.30213,1.83317,1.16591,0.21474,1.05287,1.05287,0.2152
0.187,1.29917,1.8316,1.16208,0.21579,1.048,1.048,0.21625
0.188,1.29618,1.82996,1.15825,0.21684,1.04316,1.04316,0.21729
0.189,1.29315,1.82826,1.15442,0.21788,1.03833,1.03833,0.21833
0.19,1.2901,1.82651,1.15059,0.21892,1.03351,1.03351,0.21936
0.191,1.28701,1.8247,1.14677,0.21995,1.02872,1.02872,0.22039
0.192,1.28389,1.82284,1.14295,0.22097,1.02395,1.02395,0.22141
0.193,1.28075,1.82092,1.13914,0.222,1.0192,1.0192,0.22243
0.194,1.27758,1.81895,1.13533,0.22301,1.01446,1.01446,0.22345
0.195,1.27438,1.81694,1.13153,0.22403,1.00975,1.00975,0.22445
0.196,1.27116,1.81487,1.12773,0.22503,1.00505,1.00505,0.22546
0.197,1.26791,1.81276,1.12394,0.22604,1.00037,1.00037,0.22646
0.198,1.26465,1.81059,1.12015,0.22703,0.99572,0.99572,0.22745
0.199,1.26136,1.80839,1.11637,0.22803,0.99108,0.99108,0.22845
0.2,1.25804,1.80614,1.11259,0.22902,0.98646,0.98646,0.22943
0.201,1.25471,1.80385,1.10882,0.23,0.98186,0.98186,0.23041
0.202,1.25136,1.80151,1.10506,0.23098,0.97728,0.97728,0.23139
0.203,1.24799,1.79914,1.1013,0.23195,0.97272,0.97272,0.23236
0.204,1.24461,1.79673,1.09755,0.23292,0.96819,0.96819,0.23333
0.205,1.2412,1.79427,1.0938,0.23389,0.96367,0.96367,0.23429
0.206,1.23778,1.79178,1.09006,0.23485,0.95917,0.95917,0.23525
0.207,1.23435,1.78926,1.08633,0.23581,0.95469,0.95469,0.23621
0.208,1.2309,1.7867,1.08261,0.23676,0.95023,0.95023,0.23716
0.209,1.22744,1.78411,1.07889,0.23771,0.94579,0.94579,0.2381
0.21,1.22396,1.78148,1.07518,0.23865,0.94137,0.94137,0.23904
0.211,1.22047,1.77882,1.07148,0.23959,0.93697,0.93697,0.23998
0.212,1.21697,1.77613,1.06778,0.24053,0.93259,0.93259,0.24091
0.213,1.21346,1.7734,1.06409,0.24146,0.92823,0.92823,0.24184
0.214,1.20994,1.77065,1.06041,0.24238,0.9239,0.9239,0.24276
0.215,1.2064,1.76787,1.05674,0.2433,0.91958,0.91958,0.24368
0.216,1.20286,1.76507,1.05308,0.24422,0.91528,0.91528,0.2446
0.217,1.19931,1.76223,1.04942,0.24514,0.911,0.911,0.24551
0.218,1.19575,1.75937,1.04578,0.24604,0.90674,0.90674,0.24642
0.219,1.19219,1.75648,1.04214,0.24695,0.9025,0.9025,0.24732
0.22,1.18861,1.75357,1.03851,0.24785,0.89828,0.89828,0.24822
0.221,1.18503,1.75064,1.03489,0.24875,0.89408,0.89408,0.24911
0.222,1.18145,1.74768,1.03127,0.24964,0.8899,0.8899,0.25
0.223,1.17786,1.7447,1.02767,0.25053,0.88574,0.88574,0.25088
0.224,1.17426,1.7417,1.02407,0.25141,0.8816,0.8816,0.25177
0.225,1.17066,1.73868,1.02049,0.25229,0.87748,0.87748,0.25264
0.226,1.16705,1.73563,1.01691,0.25316,0.87338,0.87338,0.25352
0.227,1.16344,1.73257,1.01334,0.25404,0.8693,0.8693,0.25438
0.228,1.15983,1.72949,1.00978,0.2549,0.86524,0.86524,0.25525
0.229,1.15621,1.72639,1.00623,0.25577,0.8612,0.8612,0.25611
0.23,1.1526,1.72327,1.00269,0.25663,0.85718,0.85718,0.25697
0.231,1.14898,1.72013,0.99916,0.25748,0.85318,0.85318,0.25782
0.232,1.14535,1.71698,0.99564,0.25833,0.8492,0.8492,0.25867
0.233,1.14173,1.71381,0.99212,0.25918,0.84523,0.84523,0.25951
0.234,1.13811,1.71063,0.98862,0.26002,0.84129,0.84129,0.26036
0.235,1.13448,1.70743,0.98513,0.26086,0.83737,0.83737,0.26119
0.236,1.13086,1.70422,0.98164,0.2617,0.83346,0.83346,0.26203
0.237,1.12723,1.70099,0.97817,0.26253,0.82958,0.82958,0.26285
0.238,1.12361,1.69775,0.9747,0.26336,0.82571,0.82571,0.26368
0.239,1.11998,1.6945,0.97125,0.26418,0.82186,0.82186,0.2645
0.24,1.11636,1.69123,0.9678,0.265,0.81803,0.81803,0.26532
0.241,1.11274,1.68795,0.96437,0.26582,0.81423,0.81423,0.26613
0.242,1.10912,1.68467,0.96094,0.26663,0.81044,0.81044,0.26694
0.243,1.1055,1.68137,0.95752,0.26744,0.80666,0.80666,0.26775
0.244,1.10188,1.67806,0.95412,0.26824,0.80291,0.80291,0.26855
0.245,1.09827,1.67473,0.95072,0.26904,0.79918,0.79918,0.26935
0.246,1.09466,1.6714,0.94734,0.26984,0.79546,0.79546,0.27015
0.247,1.09105,1.66807,0.94396,0.27063,0.79177,0.79177,0.27094
0.248,1.08745,1.66472,0.94059,0.27142,0.78809,0.78809,0.27173
0.249,1.08385,1.66136,0.93724,0.27221,0.78443,0.78443,0.27251
0.25,1.08025,1.658,0.93389,0.27299,0.78079,0.78079,0.27329
0.251,1.07665,1.65462,0.93056,0.27377,0.77717,0.77717,0.27407
0.252,1.07307,1.65124,0.92723,0.27455,0.77356,0.77356,0.27484
0.253,1.06948,1.64786,0.92391,0.27532,0.76997,0.76997,0.27561
0.254,1.0659,1.64446,0.92061,0.27609,0.76641,0.76641,0.27638
0.255,1.06232,1.64106,0.91731,0.27685,0.76286,0.76286,0.27714
0.256,1.05875,1.63766,0.91403,0.27761,0.75932,0.75932,0.2779
0.257,1.05519,1.63425,0.91075,0.27837,0.75581,0.75581,0.27865
0.258,1.05162,1.63083,0.90749,0.27912,0.75231,0.75231,0.27941
0.259,1.04807,1.62741,0.90423,0.27987,0.74884,0.74884,0.28016
0.26,1.04452,1.62398,0.90099,0.28062,0.74538,0.74538,0.2809
0.261,1.04097,1.62055,0.89776,0.28137,0.74193,0.74193,0.28164
0.262,1.03744,1.61712,0.89453,0.28211,0.73851,0.73851,0.28238
0.263,1.0339,1.61368,0.89132,0.28284,0.7351,0.7351,0.28311
0.264,1.03038,1.61024,0.88811,0.28358,0.73171,0.73171,0.28385
0.265,1.02686,1.60679,0.88492,0.28431,0.72833,0.72833,0.28457
0.266,1.02335,1.60334,0.88174,0.28503,0.72498,0.72498,0.2853
0.267,1.01984,1.59989,0.87857,0.28576,0.72164,0.72164,0.28602
0.268,1.01634,1.59644,0.8754,0.28648,0.71832,0.71832,0.28674
0.269,1.01285,1.59298,0.87225,0.28719,0.71501,0.71501,0.28745
0.27,1.00936,1.58953,0.86911,0.28791,0.71172,0.71172,0.28816
0.271,1.00588,1.58607,0.86598,0.28862,0.70845,0.70845,0.28887
0.272,1.00241,1.58261,0.86286,0.28932,0.7052,0.7052,0.28958
0.273,0.99895,1.57915,0.85975,0.29003,0.70196,0.70196,0.29028
0.274,0.99549,1.57568,0.85665,0.29073,0.69874,0.69874,0.29098
0.275,0.99204,1.57222,0.85356,0.29142,0.69553,0.69553,0.29167
0.276,0.9886,1.56875,0.85048,0.29212,0.69234,0.69234,0.29237
0.277,0.98517,1.56529,0.84741,0.29281,0.68917,0.68917,0.29305
0.278,0.98175,1.56182,0.84435,0.2935,0.68601,0.68601,0.29374
0.279,0.97833,1.55836,0.8413,0.29418,0.68287,0.68287,0.29442
0.28,0.97492,1.55489,0.83826,0.29486,0.67975,0.67975,0.2951
0.281,0.97152,1.55143,0.83523,0.29554,0.67664,0.67664,0.29578
0.282,0.96813,1.54796,0.83221,0.29621,0.67355,0.67355,0.29645
0.283,0.96474,1.5445,0.8292,0.29689,0.67047,0.67047,0.29712
0.284,0.96136,1.54104,0.8262,0.29756,0.66741,0.66741,0.29779
0.285,0.958,1.53757,0.82321,0.29822,0.66437,0.66437,0.29845
0.286,0.95464,1.53411,0.82023,0.29888,0.66134,0.66134,0.29912
0.287,0.95129,1.53065,0.81727,0.29954,0.65833,0.65833,0.29977
0.288,0.94795,1.5272,0.81431,0.3002,0.65533,0.65533,0.30043
0.289,0.94461,1.52374,0.81136,0.30085,0.65235,0.65235,0.30108
0.29,0.94129,1.52029,0.80842,0.30151,0.64938,0.64938,0.30173
0.291,0.93797,1.51683,0.80549,0.30215,0.64643,0.64643,0.30238
0.292,0.93467,1.51338,0.80257,0.3028,0.64349,0.64349,0.30302
0.293,0.93137,1.50994,0.79967,0.30344,0.64057,0.64057,0.30366
0.294,0.92808,1.50649,0.79677,0.30408,0.63766,0.63766,0.3043
0.295,0.9248,1.50305,0.79388,0.30472,0.63477,0.63477,0.30493
0.296,0.92153,1.4996,0.791,0.30535,0.63189,0.63189,0.30556
0.297,0.91827,1.49617,0.78814,0.30598,0.62903,0.62903,0.30619
0.298,0.91501,1.49273,0.78528,0.30661,0.62618,0.62618,0.30682
0.299,0.91177,1.4893,0.78243,0.30723,0.62335,0.62335,0.30744
0.3,0.90854,1.48587,0.77959,0.30785,0.62053,0.62053,0.30806
0.301,0.90531,1.48244,0.77676,0.30847,0.61772,0.61772,0.30868
0.302,0.9021,1.47902,0.77394,0.30909,0.61493,0.61493,0.30929
0.303,0.89889,1.4756,0.77114,0.3097,0.61216,0.61216,0.30991
0.304,0.89569,1.47219,0.76834,0.31031,0.6094,0.6094,0.31051
0.305,0.89251,1.46877,0.76555,0.31092,0.60665,0.60665,0.31112
0.306,0.88933,1.46536,0.76277,0.31153,0.60392,0.60392,0.31172
0.307,0.88616,1.46196,0.76,0.31213,0.6012,0.6012,0.31233
0.308,0.883,1.45856,0.75724,0.31273,0.59849,0.59849,0.31292
0.309,0.87985,1.45516,0.75449,0.31333,0.5958,0.5958,0.31352
0.31,0.87671,1.45177,0.75175,0.31392,0.59312,0.59312,0.31411
0.311,0.87358,1.44838,0.74902,0.31451,0.59046,0.59046,0.3147
0.312,0.87046,1.44499,0.7463,0.3151,0.58781,0.58781,0.31529
0.313,0.86735,1.44161,0.74359,0.31569,0.58517,0.58517,0.31588
0.314,0.86425,1.43824,0.74088,0.31627,0.58255,0.58255,0.31646
0.315,0.86115,1.43487,0.73819,0.31685,0.57994,0.57994,0.31704
0.316,0.85807,1.4315,0.73551,0.31743,0.57734,0.57734,0.31761
0.317,0.855,1.42814,0.73283,0.31801,0.57476,0.57476,0.31819
0.318,0.85193,1.42478,0.73017,0.31858,0.57218,0.57218,0.31876
0.319,0.84888,1.42143,0.72752,0.31915,0.56963,0.56963,0.31933
0.32,0.84584,1.41808,0.72487,0.31972,0.56708,0.56708,0.3199
0.321,0.8428,1.41473,0.72224,0.32029,0.56455,0.56455,0.32046
0.322,0.83978,1.4114,0.71961,0.32085,0.56203,0.56203,0.32102
0.323,0.83676,1.40806,0.71699,0.32141,0.55953,0.55953,0.32158
0.324,0.83376,1.40473,0.71439,0.32197,0.55703,0.55703,0.32214
0.325,0.83076,1.40141,0.71179,0.32253,0.55455,0.55455,0.32269
0.326,0.82777,1.39809,0.7092,0.32308,0.55208,0.55208,0.32325
0.327,0.8248,1.39478,0.70662,0.32363,0.54963,0.54963,0.3238
0.328,0.82183,1.39147,0.70405,0.32418,0.54718,0.54718,0.32434
0.329,0.81887,1.38817,0.70149,0.32472,0.54475,0.54475,0.32489
0.33,0.81592,1.38487,0.69894,0.32527,0.54234,0.54234,0.32543
0.331,0.81299,1.38158,0.69639,0.32581,0.53993,0.53993,0.32597
0.332,0.81006,1.3783,0.69386,0.32635,0.53753,0.53753,0.32651
0.333,0.80714,1.37502,0.69134,0.32688,0.53515,0.53515,0.32704
0.334,0.80423,1.37174,0.68882,0.32742,0.53278,0.53278,0.32757
0.335,0.80133,1.36847,0.68632,0.32795,0.53042,0.53042,0.3281
0.336,0.79844,1.36521,0.68382,0.32848,0.52808,0.52808,0.32863
0.337,0.79556,1.36195,0.68133,0.32901,0.52574,0.52574,0.32916
0.338,0.79269,1.3587,0.67885,0.32953,0.52342,0.52342,0.32968
0.339,0.78983,1.35545,0.67638,0.33005,0.52111,0.52111,0.3302
0.34,0.78698,1.35221,0.67392,0.33057,0.51881,0.51881,0.33072
0.341,0.78413,1.34897,0.67147,0.33109,0.51652,0.51652,0.33124
0.342,0.7813,1.34574,0.66902,0.3316,0.51425,0.51425,0.33175
0.343,0.77848,1.34252,0.66659,0.33212,0.51198,0.51198,0.33226
0.344,0.77567,1.3393,0.66416,0.33263,0.50973,0.50973,0.33277
0.345,0.77286,1.33609,0.66174,0.33314,0.50749,0.50749,0.33328
0.346,0.77007,1.33289,0.65934,0.33364,0.50526,0.50526,0.33379
0.347,0.76728,1.32969,0.65694,0.33415,0.50304,0.50304,0.33429
0.348,0.76451,1.32649,0.65454,0.33465,0.50083,0.50083,0.33479
0.349,0.76174,1.32331,0.65216,0.33515,0.49863,0.49863,0.33529
0.35,0.75899,1.32012,0.64979,0.33565,0.49644,0.49644,0.33578
0.351,0.75624,1.31695,0.64742,0.33614,0.49427,0.49427,0.33628
0.352,0.7535,1.31378,0.64507,0.33664,0.4921,0.4921,0.33677
0.353,0.75077,1.31062,0.64272,0.33713,0.48995,0.48995,0.33726
0.354,0.74806,1.30746,0.64038,0.33762,0.4878,0.4878,0.33775
0.355,0.74535,1.30431,0.63805,0.3381,0.48567,0.48567,0.33823
0.356,0.74265,1.30116,0.63573,0.33859,0.48355,0.48355,0.33872
0.357,0.73996,1.29803,0.63341,0.33907,0.48144,0.48144,0.3392
0.358,0.73727,1.29489,0.63111,0.33955,0.47934,0.47934,0.33968
0.359,0.7346,1.29177,0.62881,0.34003,0.47725,0.47725,0.34015
0.36,0.73194,1.28865,0.62652,0.3405,0.47517,0.47517,0.34063
