"","times","A_flux","B_flux","AB_flux","inert_flux","A_concentration","B_concentration","AB_concentration","AZ_concentration","BZ_concentration","Z_concentration","A_rate","B_rate","AB_rate","AZ_rate","BZ_rate","Z_rate"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.004,0,0,0,0,1e-05,1e-05,0,0,0,0,1e-05,1e-05,0,1e-05,1e-05,-2e-05
"6",0.005,0,0,0,0,0.00014,0.00014,0,0,0,0,7e-05,8e-05,0,0.00014,8e-05,-0.00021
"7",0.006,0,0,0,0,7e-04,7e-04,0,0,0,0,0.00035,4e-04,0,7e-04,4e-04,-0.0011
"8",0.007,0,0,0,0,0.00236,0.00236,0,0,0,0,0.00118,0.00135,0,0.00236,0.00135,-0.00372
"9",0.008,0,0,0,0,0.00604,0.00602,0,1e-05,0,-1e-05,0.00302,0.00346,0,0.00604,0.00346,-0.0095
"10",0.009,0,0,0,0,0.01268,0.01265,0,1e-05,1e-05,-2e-05,0.00634,0.00727,0,0.01268,0.00727,-0.01995
"11",0.01,0,0,0,0,0.02309,0.02302,0,3e-05,2e-05,-5e-05,0.01155,0.01324,0,0.02309,0.01324,-0.03633
"12",0.011,0,0,0,0,0.03778,0.03766,0,6e-05,4e-05,-1e-04,0.0189,0.02166,0,0.0378,0.02166,-0.05945
"13",0.012,0,0,0,0,0.05698,0.05678,0,0.00011,6e-05,-0.00017,0.02851,0.03266,0,0.05702,0.03266,-0.08967
"14",0.013,0,0,0,0,0.08063,0.08033,0,0.00018,1e-04,-0.00028,0.04036,0.04622,-1e-05,0.08071,0.04621,-0.12692
"15",0.014,1e-05,1e-05,0,1e-05,0.10847,0.10804,0,0.00027,0.00016,-0.00043,0.05433,0.06218,-2e-05,0.10864,0.06216,-0.1708
"16",0.015,4e-05,4e-05,0,4e-05,0.14009,0.13951,0,4e-04,0.00023,-0.00062,0.07022,0.08032,-4e-05,0.1404,0.08028,-0.22068
"17",0.016,8e-05,8e-05,0,8e-05,0.17501,0.17424,0,0.00055,0.00032,-0.00087,0.08781,0.10036,-7e-05,0.17555,0.10029,-0.27584
"18",0.017,0.00017,0.00017,0,0.00017,0.21269,0.21172,1e-05,0.00075,0.00043,-0.00118,0.10685,0.12203,-0.00013,0.21357,0.1219,-0.33547
"19",0.018,0.00032,0.00032,0,0.00033,0.25263,0.25142,1e-05,0.00098,0.00056,-0.00154,0.1271,0.14501,-0.00022,0.25397,0.14479,-0.39876
"20",0.019,0.00058,0.00058,0,6e-04,0.2943,0.29283,2e-05,0.00126,0.00072,-0.00198,0.14832,0.16904,-0.00036,0.29627,0.16868,-0.46495
"21",0.02,0.00099,0.00099,0,0.00101,0.33725,0.3355,3e-05,0.00158,9e-04,-0.00247,0.1703,0.19387,-0.00057,0.34003,0.1933,-0.53333
"22",0.021,0.0016,0.0016,0,0.00164,0.38106,0.37901,4e-05,0.00194,0.0011,-0.00304,0.19286,0.21925,-0.00086,0.38485,0.2184,-0.60325
"23",0.022,0.00248,0.00247,0,0.00254,0.42535,0.42298,6e-05,0.00235,0.00134,-0.00368,0.21582,0.245,-0.00125,0.43038,0.24375,-0.67413
"24",0.023,0.00368,0.00367,0,0.00378,0.46979,0.46709,9e-05,0.0028,0.00159,-0.00439,0.23904,0.27093,-0.00178,0.47629,0.26915,-0.74545
"25",0.024,0.0053,0.00528,0,0.00544,0.51411,0.51107,0.00013,0.0033,0.00187,-0.00517,0.2624,0.2969,-0.00247,0.52233,0.29443,-0.81676
"26",0.025,0.0074,0.00737,0,0.0076,0.55807,0.55468,0.00019,0.00384,0.00218,-0.00602,0.2858,0.32278,-0.00335,0.56825,0.31943,-0.88768
"27",0.026,0.01006,0.01002,0,0.01034,0.60148,0.59773,0.00025,0.00443,0.00251,-0.00695,0.30915,0.34847,-0.00446,0.61385,0.34401,-0.95786
"28",0.027,0.01335,0.01329,0,0.01373,0.64416,0.64006,0.00034,0.00507,0.00287,-0.00794,0.33239,0.37388,-0.00582,0.65896,0.36806,-1.02702
"29",0.028,0.01735,0.01727,0,0.01786,0.68599,0.68153,0.00045,0.00575,0.00325,-0.009,0.35546,0.39893,-0.00747,0.70344,0.39146,-1.09489
"30",0.029,0.02211,0.02201,0,0.02279,0.72686,0.72204,0.00059,0.00648,0.00365,-0.01013,0.3783,0.42358,-0.00946,0.74715,0.41412,-1.16127
"31",0.03,0.0277,0.02758,0,0.02858,0.76669,0.76152,0.00075,0.00725,0.00408,-0.01132,0.4009,0.44779,-0.01182,0.78999,0.43597,-1.22596
"32",0.031,0.03417,0.03401,0,0.03529,0.80541,0.79989,0.00095,0.00806,0.00452,-0.01258,0.42323,0.47151,-0.01458,0.83187,0.45693,-1.28881
"33",0.032,0.04156,0.04136,0,0.04295,0.84298,0.83713,0.00119,0.00891,0.00499,-0.0139,0.44525,0.49473,-0.01778,0.87272,0.47694,-1.34966
"34",0.033,0.04989,0.04965,0,0.05162,0.87937,0.87318,0.00147,0.0098,0.00548,-0.01528,0.46697,0.51742,-0.02147,0.91246,0.49595,-1.40841
"35",0.034,0.05919,0.0589,1e-05,0.0613,0.91455,0.90805,0.0018,0.01073,0.00598,-0.01672,0.48836,0.53958,-0.02568,0.95104,0.5139,-1.46494
"36",0.035,0.06948,0.06912,1e-05,0.07203,0.94852,0.94171,0.00218,0.0117,0.0065,-0.01821,0.50943,0.5612,-0.03045,0.98841,0.53075,-1.51916
"37",0.036,0.08075,0.08033,1e-05,0.0838,0.98127,0.97418,0.00262,0.01271,0.00704,-0.01975,0.53017,0.58228,-0.03581,1.02452,0.54647,-1.571
"38",0.037,0.093,0.0925,2e-05,0.09661,1.01281,1.00545,0.00313,0.01375,0.0076,-0.02135,0.55057,0.60282,-0.04179,1.05936,0.56103,-1.62038
"39",0.038,0.10623,0.10565,3e-05,0.11046,1.04315,1.03554,0.0037,0.01483,0.00816,-0.02299,0.57065,0.62281,-0.04843,1.09287,0.57439,-1.66726
"40",0.039,0.1204,0.11973,4e-05,0.12533,1.07231,1.06446,0.00435,0.01594,0.00875,-0.02468,0.5904,0.64228,-0.05575,1.12505,0.58653,-1.71158
"41",0.04,0.1355,0.13473,5e-05,0.14119,1.10031,1.09224,0.00507,0.01708,0.00934,-0.02642,0.60982,0.66122,-0.06379,1.15586,0.59743,-1.75329
"42",0.041,0.15149,0.15061,6e-05,0.15801,1.12717,1.11891,0.00588,0.01825,0.00994,-0.02819,0.62892,0.67964,-0.07255,1.18529,0.60709,-1.79238
"43",0.042,0.16833,0.16734,8e-05,0.17577,1.15292,1.14448,0.00678,0.01945,0.01055,-0.03,0.64771,0.69756,-0.08208,1.21333,0.61548,-1.82881
"44",0.043,0.18599,0.18488,0.00011,0.19441,1.17757,1.16898,0.00778,0.02068,0.01117,-0.03185,0.66618,0.71498,-0.09238,1.23997,0.6226,-1.86257
"45",0.044,0.20442,0.20318,0.00014,0.21391,1.20117,1.19245,0.00887,0.02193,0.0118,-0.03372,0.68433,0.73191,-0.10346,1.26521,0.62844,-1.89365
"46",0.045,0.22357,0.2222,0.00017,0.2342,1.22374,1.21492,0.01007,0.02321,0.01243,-0.03563,0.70219,0.74836,-0.11534,1.28903,0.63302,-1.92205
"47",0.046,0.2434,0.24188,0.00022,0.25525,1.24531,1.2364,0.01138,0.02451,0.01306,-0.03757,0.71974,0.76435,-0.12803,1.31144,0.63632,-1.94776
"48",0.047,0.26385,0.26219,0.00027,0.27699,1.26591,1.25694,0.0128,0.02583,0.0137,-0.03953,0.73699,0.77988,-0.14152,1.33245,0.63835,-1.9708
"49",0.048,0.28487,0.28306,0.00033,0.2994,1.28557,1.27656,0.01433,0.02717,0.01434,-0.04151,0.75394,0.79496,-0.15582,1.35206,0.63914,-1.9912
"50",0.049,0.30642,0.30445,0.00041,0.3224,1.30433,1.2953,0.01599,0.02853,0.01498,-0.04351,0.7706,0.80961,-0.17092,1.37027,0.63869,-2.00896
"51",0.05,0.32843,0.3263,5e-04,0.34595,1.3222,1.31318,0.01777,0.02991,0.01561,-0.04552,0.78696,0.82383,-0.18681,1.38711,0.63702,-2.02413
"52",0.051,0.35087,0.34856,6e-04,0.36999,1.33922,1.33024,0.01967,0.0313,0.01625,-0.04756,0.80304,0.83764,-0.20349,1.40259,0.63415,-2.03675
"53",0.052,0.37366,0.37119,0.00072,0.39448,1.35542,1.3465,0.02171,0.03271,0.01688,-0.0496,0.81883,0.85104,-0.22092,1.41673,0.63011,-2.04685
"54",0.053,0.39678,0.39413,0.00085,0.41937,1.37083,1.36199,0.02388,0.03414,0.01751,-0.05165,0.83433,0.86404,-0.2391,1.42955,0.62493,-2.05449
"55",0.054,0.42016,0.41734,0.00101,0.4446,1.38547,1.37674,0.02617,0.03557,0.01813,-0.05371,0.84954,0.87665,-0.25801,1.44108,0.61864,-2.05972
"56",0.055,0.44376,0.44076,0.00119,0.47012,1.39938,1.39077,0.02861,0.03702,0.01875,-0.05577,0.86447,0.88888,-0.2776,1.45133,0.61128,-2.06261
"57",0.056,0.46754,0.46436,0.00139,0.49589,1.41257,1.40411,0.03117,0.03848,0.01935,-0.05783,0.87911,0.90074,-0.29787,1.46035,0.60288,-2.06323
"58",0.057,0.49144,0.48809,0.00162,0.52187,1.42508,1.41679,0.03388,0.03994,0.01995,-0.05989,0.89347,0.91224,-0.31876,1.46817,0.59348,-2.06165
"59",0.058,0.51543,0.51191,0.00188,0.54801,1.43693,1.42884,0.03672,0.04141,0.02054,-0.06195,0.90754,0.92338,-0.34025,1.47482,0.58313,-2.05794
"60",0.059,0.53947,0.53577,0.00217,0.57426,1.44814,1.44026,0.03969,0.04289,0.02112,-0.06401,0.92132,0.93417,-0.3623,1.48033,0.57187,-2.0522
"61",0.06,0.56352,0.55965,0.0025,0.6006,1.45874,1.4511,0.0428,0.04437,0.02168,-0.06606,0.93481,0.94461,-0.38487,1.48476,0.55974,-2.0445
"62",0.061,0.58754,0.5835,0.00286,0.62697,1.46874,1.46137,0.04604,0.04586,0.02224,-0.0681,0.94802,0.95473,-0.40791,1.48813,0.54681,-2.03495
"63",0.062,0.61149,0.60729,0.00325,0.65335,1.47818,1.47108,0.04941,0.04735,0.02278,-0.07013,0.96095,0.96451,-0.43139,1.4905,0.53312,-2.02362
"64",0.063,0.63535,0.63098,0.00369,0.6797,1.48708,1.48027,0.05291,0.04884,0.0233,-0.07214,0.97358,0.97397,-0.45525,1.49191,0.51871,-2.01062
"65",0.064,0.65909,0.65456,0.00418,0.70599,1.49544,1.48895,0.05654,0.05033,0.02381,-0.07415,0.98593,0.98311,-0.47945,1.4924,0.50365,-1.99605
"66",0.065,0.68266,0.67799,0.00471,0.73219,1.5033,1.49715,0.06029,0.05182,0.02431,-0.07613,0.99798,0.99194,-0.50395,1.49202,0.48799,-1.98001
"67",0.066,0.70606,0.70124,0.00529,0.75826,1.51067,1.50487,0.06417,0.05332,0.02479,-0.07811,1.00975,1.00047,-0.52869,1.49081,0.47178,-1.9626
"68",0.067,0.72925,0.72428,0.00592,0.78419,1.51757,1.51214,0.06816,0.0548,0.02525,-0.08006,1.02123,1.0087,-0.55362,1.48884,0.45508,-1.94392
"69",0.068,0.7522,0.74711,0.00661,0.80994,1.52402,1.51897,0.07227,0.05629,0.0257,-0.08199,1.03242,1.01664,-0.5787,1.48614,0.43793,-1.92407
"70",0.069,0.77491,0.76969,0.00735,0.8355,1.53004,1.52539,0.07648,0.05778,0.02613,-0.08391,1.04332,1.02429,-0.60388,1.48276,0.4204,-1.90317
"71",0.07,0.79734,0.79201,0.00816,0.86084,1.53563,1.5314,0.0808,0.05926,0.02654,-0.0858,1.05394,1.03166,-0.62912,1.47876,0.40254,-1.8813
"72",0.071,0.81948,0.81404,0.00903,0.88595,1.54083,1.53702,0.08522,0.06073,0.02693,-0.08767,1.06427,1.03875,-0.65435,1.47418,0.3844,-1.85858
"73",0.072,0.84132,0.83578,0.00996,0.9108,1.54564,1.54227,0.08974,0.06221,0.02731,-0.08952,1.07431,1.04557,-0.67954,1.46907,0.36603,-1.8351
"74",0.073,0.86283,0.85721,0.01095,0.93537,1.55007,1.54716,0.09435,0.06367,0.02767,-0.09134,1.08406,1.05213,-0.70465,1.46348,0.34748,-1.81096
"75",0.074,0.88401,0.87831,0.01202,0.95967,1.55415,1.5517,0.09905,0.06513,0.02801,-0.09314,1.09354,1.05843,-0.72962,1.45745,0.32881,-1.78626
"76",0.075,0.90484,0.89907,0.01316,0.98366,1.55788,1.55591,0.10383,0.06659,0.02832,-0.09491,1.10273,1.06447,-0.75442,1.45104,0.31005,-1.76109
"77",0.076,0.92531,0.91949,0.01437,1.00733,1.56128,1.5598,0.10868,0.06803,0.02863,-0.09666,1.11164,1.07027,-0.779,1.44428,0.29127,-1.73554
"78",0.077,0.94541,0.93955,0.01566,1.03068,1.56436,1.56338,0.1136,0.06948,0.02891,-0.09838,1.12027,1.07582,-0.80333,1.43722,0.27249,-1.7097
"79",0.078,0.96514,0.95924,0.01703,1.0537,1.56713,1.56666,0.11859,0.07091,0.02917,-0.10008,1.12863,1.08114,-0.82737,1.4299,0.25376,-1.68366
"80",0.079,0.98448,0.97856,0.01847,1.07637,1.56961,1.56965,0.12364,0.07234,0.02941,-0.10175,1.13672,1.08622,-0.85109,1.42236,0.23513,-1.65749
"81",0.08,1.00343,0.9975,0.02,1.09869,1.5718,1.57237,0.12874,0.07375,0.02964,-0.10339,1.14454,1.09107,-0.87444,1.41464,0.21663,-1.63127
"82",0.081,1.02198,1.01606,0.0216,1.12065,1.57372,1.57482,0.13389,0.07516,0.02985,-0.10501,1.15209,1.0957,-0.8974,1.40678,0.1983,-1.60508
"83",0.082,1.04013,1.03423,0.02329,1.14224,1.57538,1.57702,0.13909,0.07657,0.03004,-0.1066,1.15938,1.10012,-0.91995,1.39881,0.18017,-1.57899
"84",0.083,1.05788,1.052,0.02507,1.16347,1.57678,1.57896,0.14432,0.07796,0.03021,-0.10817,1.16641,1.10432,-0.94204,1.39078,0.16228,-1.55306
"85",0.084,1.07522,1.06939,0.02693,1.18431,1.57794,1.58067,0.14959,0.07935,0.03036,-0.10971,1.17319,1.10832,-0.96367,1.3827,0.14465,-1.52735
"86",0.085,1.09215,1.08637,0.02887,1.20478,1.57886,1.58215,0.15488,0.08073,0.0305,-0.11123,1.17971,1.11211,-0.9848,1.37462,0.1273,-1.50193
"87",0.086,1.10867,1.10296,0.03091,1.22487,1.57956,1.58341,0.16019,0.0821,0.03062,-0.11271,1.18599,1.1157,-1.00542,1.36656,0.11028,-1.47684
"88",0.087,1.12478,1.11915,0.03302,1.24457,1.58003,1.58445,0.16552,0.08346,0.03072,-0.11418,1.19203,1.11911,-1.02551,1.35854,0.0936,-1.45214
"89",0.088,1.14048,1.13494,0.03523,1.26389,1.5803,1.58529,0.17086,0.08482,0.0308,-0.11562,1.19783,1.12233,-1.04505,1.3506,0.07727,-1.42787
"90",0.089,1.15577,1.15034,0.03752,1.28282,1.58037,1.58593,0.17622,0.08616,0.03087,-0.11703,1.20339,1.12536,-1.06403,1.34275,0.06133,-1.40408
"91",0.09,1.17065,1.16534,0.0399,1.30137,1.58024,1.58638,0.18157,0.0875,0.03093,-0.11843,1.20873,1.12822,-1.08244,1.33502,0.04578,-1.3808
"92",0.091,1.18512,1.17994,0.04237,1.31953,1.57992,1.58664,0.18692,0.08883,0.03096,-0.1198,1.21385,1.13091,-1.10027,1.32743,0.03064,-1.35807
"93",0.092,1.19918,1.19415,0.04492,1.3373,1.57943,1.58673,0.19226,0.09016,0.03099,-0.12114,1.21875,1.13342,-1.1175,1.31999,0.01593,-1.33592
"94",0.093,1.21285,1.20797,0.04756,1.35469,1.57875,1.58664,0.1976,0.09147,0.031,-0.12247,1.22343,1.13578,-1.13414,1.31273,0.00164,-1.31437
"95",0.094,1.22611,1.22141,0.05028,1.3717,1.57791,1.58639,0.20292,0.09278,0.03099,-0.12377,1.22791,1.13798,-1.15017,1.30565,-0.01219,-1.29345
"96",0.095,1.23898,1.23446,0.05308,1.38832,1.57691,1.58598,0.20822,0.09408,0.03097,-0.12506,1.23218,1.14002,-1.1656,1.29877,-0.02558,-1.27319
"97",0.096,1.25145,1.24713,0.05597,1.40456,1.57576,1.58541,0.2135,0.09538,0.03094,-0.12632,1.23626,1.14192,-1.18043,1.2921,-0.03851,-1.25359
"98",0.097,1.26353,1.25942,0.05894,1.42043,1.57445,1.58469,0.21876,0.09667,0.0309,-0.12756,1.24015,1.14367,-1.19465,1.28565,-0.05098,-1.23468
"99",0.098,1.27523,1.27134,0.06199,1.43592,1.573,1.58383,0.22398,0.09795,0.03084,-0.12879,1.24385,1.14528,-1.20826,1.27944,-0.06298,-1.21645
"100",0.099,1.28655,1.28289,0.06512,1.45104,1.57141,1.58283,0.22918,0.09923,0.03077,-0.13,1.24737,1.14675,-1.22128,1.27346,-0.07452,-1.19894
"101",0.1,1.29749,1.29407,0.06832,1.4658,1.56968,1.58169,0.23434,0.1005,0.03069,-0.13119,1.25071,1.1481,-1.23369,1.26773,-0.0856,-1.18213
"102",0.101,1.30806,1.3049,0.0716,1.48019,1.56782,1.58043,0.23946,0.10176,0.0306,-0.13236,1.25388,1.14931,-1.24552,1.26225,-0.09621,-1.16604
"103",0.102,1.31826,1.31537,0.07495,1.49422,1.56584,1.57904,0.24454,0.10302,0.0305,-0.13352,1.25689,1.1504,-1.25676,1.25702,-0.10636,-1.15066
"104",0.103,1.32811,1.32549,0.07838,1.50789,1.56374,1.57753,0.24958,0.10428,0.03039,-0.13466,1.25974,1.15138,-1.26743,1.25205,-0.11605,-1.136
"105",0.104,1.33759,1.33526,0.08187,1.52121,1.56152,1.5759,0.25457,0.10553,0.03027,-0.13579,1.26243,1.15223,-1.27752,1.24733,-0.12529,-1.12205
"106",0.105,1.34673,1.3447,0.08543,1.53419,1.55919,1.57416,0.25952,0.10677,0.03014,-0.13691,1.26497,1.15298,-1.28705,1.24288,-0.13407,-1.10881
"107",0.106,1.35552,1.3538,0.08905,1.54681,1.55675,1.57231,0.26442,0.10801,0.03,-0.13801,1.26736,1.15362,-1.29604,1.23869,-0.14242,-1.09627
"108",0.107,1.36397,1.36257,0.09274,1.5591,1.5542,1.57035,0.26927,0.10925,0.02985,-0.1391,1.26962,1.15415,-1.30448,1.23476,-0.15033,-1.08444
"109",0.108,1.37209,1.37102,0.09648,1.57106,1.55155,1.56829,0.27407,0.11048,0.0297,-0.14018,1.27174,1.15458,-1.31239,1.23109,-0.15781,-1.07329
"110",0.109,1.37988,1.37914,0.10028,1.58268,1.54881,1.56613,0.27881,0.11171,0.02954,-0.14125,1.27373,1.15492,-1.31978,1.22768,-0.16486,-1.06281
"111",0.11,1.38735,1.38696,0.10414,1.59398,1.54597,1.56388,0.2835,0.11294,0.02937,-0.1423,1.27559,1.15516,-1.32667,1.22452,-0.17151,-1.05301
"112",0.111,1.3945,1.39447,0.10805,1.60496,1.54304,1.56154,0.28813,0.11416,0.02919,-0.14335,1.27733,1.15531,-1.33306,1.22161,-0.17775,-1.04386
"113",0.112,1.40134,1.40167,0.11201,1.61562,1.54002,1.5591,0.2927,0.11538,0.02901,-0.14439,1.27896,1.15537,-1.33897,1.21895,-0.18359,-1.03535
"114",0.113,1.40788,1.40858,0.11601,1.62597,1.53691,1.55658,0.29722,0.1166,0.02883,-0.14542,1.28047,1.15535,-1.34441,1.21653,-0.18906,-1.02747
"115",0.114,1.41411,1.4152,0.12006,1.63602,1.53373,1.55398,0.30168,0.11781,0.02863,-0.14645,1.28187,1.15525,-1.34939,1.21435,-0.19414,-1.02021
"116",0.115,1.42006,1.42153,0.12415,1.64576,1.53046,1.5513,0.30607,0.11903,0.02844,-0.14746,1.28317,1.15507,-1.35393,1.21241,-0.19886,-1.01354
"117",0.116,1.42571,1.42758,0.12828,1.65521,1.52712,1.54853,0.31041,0.12024,0.02824,-0.14847,1.28437,1.15481,-1.35804,1.21069,-0.20323,-1.00746
"118",0.117,1.43109,1.43336,0.13244,1.66436,1.5237,1.5457,0.31469,0.12145,0.02803,-0.14948,1.28547,1.15448,-1.36174,1.2092,-0.20725,-1.00195
"119",0.118,1.43619,1.43887,0.13664,1.67323,1.52022,1.54279,0.31891,0.12266,0.02782,-0.15048,1.28647,1.15408,-1.36503,1.20792,-0.21094,-0.99698
"120",0.119,1.44102,1.44412,0.14087,1.68182,1.51666,1.53981,0.32306,0.12386,0.02761,-0.15147,1.28739,1.15362,-1.36793,1.20686,-0.21431,-0.99255
"121",0.12,1.44558,1.4491,0.14512,1.69013,1.51303,1.53676,0.32715,0.12507,0.02739,-0.15246,1.28823,1.15308,-1.37045,1.206,-0.21737,-0.98863
"122",0.121,1.44988,1.45384,0.1494,1.69817,1.50935,1.53365,0.33119,0.12628,0.02717,-0.15345,1.28898,1.15249,-1.37261,1.20534,-0.22012,-0.98522
"123",0.122,1.45393,1.45833,0.1537,1.70594,1.5056,1.53047,0.33516,0.12748,0.02695,-0.15443,1.28965,1.15183,-1.37442,1.20487,-0.22259,-0.98228
"124",0.123,1.45774,1.46257,0.15803,1.71345,1.50178,1.52724,0.33907,0.12869,0.02673,-0.15542,1.29024,1.15112,-1.3759,1.20459,-0.22478,-0.97981
"125",0.124,1.46129,1.46658,0.16237,1.72071,1.49792,1.52394,0.34291,0.12989,0.0265,-0.15639,1.29076,1.15035,-1.37705,1.20448,-0.22669,-0.97779
"126",0.125,1.46462,1.47035,0.16672,1.72771,1.49399,1.52059,0.3467,0.13109,0.02628,-0.15737,1.29122,1.14953,-1.37788,1.20455,-0.22836,-0.97619
"127",0.126,1.46771,1.4739,0.17109,1.73446,1.49001,1.51718,0.35043,0.1323,0.02605,-0.15835,1.2916,1.14865,-1.37842,1.20478,-0.22977,-0.97501
"128",0.127,1.47057,1.47723,0.17546,1.74097,1.48598,1.51371,0.35409,0.1335,0.02582,-0.15932,1.29192,1.14773,-1.37867,1.20517,-0.23095,-0.97423
"129",0.128,1.47321,1.48034,0.17985,1.74724,1.48189,1.5102,0.3577,0.13471,0.02559,-0.1603,1.29218,1.14676,-1.37865,1.20571,-0.2319,-0.97382
"130",0.129,1.47564,1.48323,0.18424,1.75328,1.47776,1.50664,0.36124,0.13592,0.02535,-0.16127,1.29238,1.14574,-1.37837,1.2064,-0.23263,-0.97377
"131",0.13,1.47785,1.48592,0.18863,1.75909,1.47358,1.50303,0.36473,0.13712,0.02512,-0.16224,1.29253,1.14467,-1.37783,1.20722,-0.23316,-0.97407
"132",0.131,1.47986,1.48841,0.19302,1.76468,1.46936,1.49937,0.36816,0.13833,0.02489,-0.16322,1.29262,1.14357,-1.37705,1.20818,-0.23349,-0.97469
"133",0.132,1.48166,1.4907,0.19741,1.77004,1.46509,1.49567,0.37153,0.13954,0.02465,-0.16419,1.29265,1.14242,-1.37605,1.20926,-0.23363,-0.97563
"134",0.133,1.48327,1.49279,0.20179,1.77519,1.46078,1.49192,0.37484,0.14075,0.02442,-0.16517,1.29264,1.14123,-1.37483,1.21045,-0.23359,-0.97686
"135",0.134,1.48469,1.4947,0.20617,1.78013,1.45643,1.48813,0.3781,0.14196,0.02419,-0.16615,1.29258,1.14001,-1.3734,1.21176,-0.23339,-0.97838
"136",0.135,1.48591,1.49642,0.21054,1.78486,1.45203,1.4843,0.3813,0.14317,0.02395,-0.16713,1.29247,1.13875,-1.37177,1.21318,-0.23302,-0.98015
"137",0.136,1.48696,1.49797,0.2149,1.78938,1.4476,1.48044,0.38444,0.14439,0.02372,-0.16811,1.29232,1.13745,-1.36996,1.21469,-0.2325,-0.98218
"138",0.137,1.48782,1.49933,0.21925,1.79371,1.44313,1.47653,0.38754,0.1456,0.02349,-0.16909,1.29213,1.13612,-1.36797,1.21629,-0.23184,-0.98445
"139",0.138,1.48851,1.50053,0.22359,1.79785,1.43863,1.47259,0.39057,0.14682,0.02326,-0.17008,1.2919,1.13476,-1.36581,1.21798,-0.23105,-0.98693
"140",0.139,1.48903,1.50155,0.22791,1.80179,1.43409,1.46862,0.39356,0.14804,0.02303,-0.17106,1.29162,1.13337,-1.36349,1.21975,-0.23013,-0.98963
"141",0.14,1.48939,1.50242,0.23221,1.80555,1.42952,1.46461,0.39649,0.14926,0.0228,-0.17206,1.29131,1.13194,-1.36103,1.2216,-0.22908,-0.99251
"142",0.141,1.48958,1.50312,0.2365,1.80912,1.42492,1.46057,0.39937,0.15048,0.02257,-0.17305,1.29097,1.13049,-1.35842,1.22351,-0.22793,-0.99558
"143",0.142,1.48962,1.50367,0.24076,1.81252,1.42029,1.4565,0.4022,0.15171,0.02234,-0.17405,1.29058,1.12901,-1.35568,1.22549,-0.22667,-0.99882
"144",0.143,1.4895,1.50407,0.245,1.81574,1.41563,1.4524,0.40498,0.15293,0.02211,-0.17505,1.29017,1.1275,-1.35282,1.22752,-0.22531,-1.00221
"145",0.144,1.48923,1.50432,0.24922,1.81879,1.41094,1.44827,0.40771,0.15416,0.02189,-0.17605,1.28972,1.12597,-1.34983,1.22961,-0.22387,-1.00575
"146",0.145,1.48881,1.50442,0.25341,1.82167,1.40622,1.44411,0.41039,0.15539,0.02167,-0.17706,1.28925,1.12441,-1.34674,1.23175,-0.22233,-1.00941
"147",0.146,1.48826,1.50439,0.25758,1.82438,1.40148,1.43993,0.41303,0.15662,0.02145,-0.17807,1.28874,1.12283,-1.34355,1.23393,-0.22072,-1.0132
"148",0.147,1.48756,1.50421,0.26172,1.82694,1.39671,1.43572,0.41562,0.15786,0.02123,-0.17908,1.2882,1.12122,-1.34026,1.23614,-0.21904,-1.01711
"149",0.148,1.48673,1.50391,0.26584,1.82934,1.39191,1.43149,0.41816,0.1591,0.02101,-0.1801,1.28764,1.11959,-1.33688,1.23839,-0.21729,-1.02111
"150",0.149,1.48577,1.50347,0.26992,1.83159,1.3871,1.42723,0.42066,0.16034,0.02079,-0.18113,1.28704,1.11795,-1.33342,1.24067,-0.21547,-1.0252
"151",0.15,1.48467,1.50291,0.27397,1.83369,1.38226,1.42295,0.42311,0.16158,0.02058,-0.18215,1.28643,1.11627,-1.32988,1.24297,-0.2136,-1.02937
"152",0.151,1.48346,1.50222,0.278,1.83564,1.3774,1.41865,0.42553,0.16282,0.02036,-0.18319,1.28578,1.11458,-1.32627,1.2453,-0.21169,-1.03361
"153",0.152,1.48212,1.50141,0.28199,1.83744,1.37252,1.41433,0.42789,0.16407,0.02015,-0.18422,1.28512,1.11287,-1.32259,1.24764,-0.20972,-1.03792
"154",0.153,1.48066,1.50049,0.28594,1.83911,1.36762,1.40999,0.43022,0.16532,0.01994,-0.18526,1.28442,1.11115,-1.31886,1.24999,-0.20771,-1.04227
"155",0.154,1.47909,1.49945,0.28987,1.84064,1.3627,1.40563,0.43251,0.16657,0.01974,-0.18631,1.28371,1.1094,-1.31507,1.25235,-0.20567,-1.04668
"156",0.155,1.4774,1.4983,0.29375,1.84204,1.35777,1.40126,0.43476,0.16782,0.01953,-0.18736,1.28297,1.10764,-1.31123,1.25471,-0.20359,-1.05112
"157",0.156,1.47561,1.49704,0.29761,1.8433,1.35281,1.39686,0.43697,0.16908,0.01933,-0.18841,1.28221,1.10586,-1.30734,1.25708,-0.20149,-1.05559
"158",0.157,1.47371,1.49568,0.30143,1.84444,1.34784,1.39246,0.43914,0.17034,0.01913,-0.18947,1.28143,1.10406,-1.30342,1.25945,-0.19936,-1.06009
"159",0.158,1.4717,1.49421,0.30521,1.84545,1.34286,1.38803,0.44127,0.1716,0.01893,-0.19053,1.28063,1.10225,-1.29945,1.26181,-0.19721,-1.0646
